Date,Open,High,Low,Close,Adj Close,Volume
2023-05-22,44.049999,44.610001,43.439999,43.459999,41.637978,8075400
2023-05-23,43.480000,44.630001,43.340000,44.480000,42.615215,12911200
2023-05-24,44.480000,44.980000,44.160000,44.610001,42.739765,10921400
2023-05-25,45.000000,45.400002,44.660000,44.660000,42.787666,11695400
2023-05-26,45.250000,45.320000,44.150002,44.400002,42.538574,9590300
2023-05-29,44.560001,44.560001,44.009998,44.320000,42.461926,3307900
2023-05-30,44.799999,44.860001,44.209999,44.700001,42.825993,18427000
2023-05-31,44.740002,45.139999,44.520000,44.619999,42.749344,17425400
2023-06-01,44.790001,45.029999,44.259998,44.740002,42.864319,10196900
2023-06-02,44.740002,44.740002,44.740002,44.740002,43.500610,0
2023-06-05,44.599998,45.290001,44.150002,45.020000,43.772850,13667000
2023-06-06,45.029999,46.160000,44.959999,45.540001,44.278446,11466100
2023-06-07,45.730000,45.889999,45.520000,45.520000,44.258999,11111000
2023-06-09,45.740002,47.740002,45.740002,47.740002,46.417500,18466100
2023-06-12,48.070000,49.740002,47.970001,49.470001,48.099575,38557800
2023-06-13,49.180000,49.490002,48.389999,48.619999,47.598942,13266100
2023-06-14,48.799999,49.000000,48.099998,48.860001,47.833908,13041900
2023-06-15,48.900002,50.240002,48.700001,49.860001,48.812904,20965400
2023-06-16,49.840000,49.910000,49.250000,49.490002,48.450676,15196900
2023-06-19,49.570000,50.470001,49.520000,50.410000,49.351357,5893600
2023-06-20,50.290001,50.459999,49.950001,50.400002,49.341564,8570500
2023-06-21,50.200001,51.990002,50.139999,51.990002,50.898174,13706500
2023-06-22,51.639999,51.860001,50.660000,51.000000,49.928963,9000400
2023-06-23,51.110001,51.139999,50.560001,51.020000,49.948544,6741900
2023-06-26,50.740002,51.389999,50.450001,51.139999,50.066025,8424200
2023-06-27,51.169998,51.480000,49.869999,50.200001,49.145763,12889500
2023-06-28,50.110001,50.200001,49.230000,49.590000,48.548576,7762100
2023-06-29,49.560001,50.200001,49.220001,50.049999,48.998913,8282600
2023-06-30,50.400002,50.799999,48.930000,49.400002,48.362564,14004500
2023-07-03,49.560001,50.500000,49.520000,50.389999,49.331776,13015600
2023-07-04,50.389999,50.450001,49.830002,50.070000,49.018494,3786400
2023-07-05,50.000000,50.009998,49.400002,49.740002,48.695423,5666200
2023-07-06,49.529999,49.580002,48.639999,49.009998,47.980751,9558000
2023-07-07,49.040001,50.320000,49.040001,49.959999,48.910805,11539600
2023-07-10,49.990002,50.049999,48.790001,49.040001,48.010124,8903000
2023-07-11,49.000000,49.020000,47.880001,48.340000,47.324825,12336800
2023-07-12,48.939999,48.939999,47.360001,47.560001,46.561207,12229100
2023-07-13,47.860001,48.380001,47.590000,48.009998,47.001751,7034200
2023-07-14,47.959999,48.709999,47.410000,47.689999,46.688473,13105800
2023-07-17,47.799999,48.189999,47.459999,48.110001,47.099655,5387000
2023-07-18,48.099998,48.450001,47.840000,48.270000,47.256298,4530300
2023-07-19,48.400002,48.400002,47.320000,47.430000,46.433937,8105400
2023-07-20,47.560001,48.049999,47.400002,47.950001,46.943016,6753800
2023-07-21,47.950001,48.849998,47.950001,48.520000,47.501045,10132200
2023-07-24,48.240002,48.849998,47.180000,47.570000,46.570995,17870500
2023-07-25,48.259998,48.259998,47.299999,47.320000,46.326244,10766700
2023-07-26,47.410000,47.799999,47.070000,47.720001,46.717846,12383500
2023-07-27,47.720001,47.759998,46.650002,46.740002,45.758430,11750700
2023-07-28,47.130001,47.570000,46.860001,47.279999,46.287083,7276100
2023-07-31,47.599998,48.320000,47.480000,48.189999,47.177971,10389900
2023-08-01,47.919998,48.029999,46.939999,47.360001,46.365406,12680100
2023-08-02,47.259998,47.759998,47.099998,47.570000,46.570995,5602000
2023-08-03,47.900002,47.980000,47.340000,47.650002,46.649319,8376300
2023-08-04,47.500000,47.959999,47.049999,47.400002,46.404568,11489500
2023-08-07,47.619999,48.000000,47.200001,47.320000,46.326244,5728200
2023-08-08,47.230000,47.389999,46.360001,46.990002,46.003178,11888100
2023-08-09,47.000000,47.150002,46.509998,46.730000,45.748634,7657700
2023-08-10,47.099998,47.299999,46.730000,46.970001,45.983597,12489000
2023-08-11,47.180000,47.660000,47.040001,47.480000,46.482883,8645400
2023-08-14,47.689999,47.689999,46.939999,47.009998,46.022755,6574200
2023-08-15,47.139999,47.340000,46.680000,46.759998,45.778008,8725900
2023-08-16,46.810001,47.730000,46.810001,47.160000,46.169605,11500000
2023-08-17,47.509998,47.700001,47.180000,47.599998,46.600361,9183800
2023-08-18,47.580002,48.119999,47.330002,47.790001,46.786377,10320100
2023-08-21,48.000000,48.049999,47.310001,47.619999,46.619942,7872500
2023-08-22,47.200001,48.080002,47.080002,47.970001,47.631641,7857600
2023-08-23,48.110001,48.480000,47.630001,48.180000,47.840160,7767600
2023-08-24,48.099998,48.099998,47.330002,47.549999,47.214603,6387600
2023-08-25,47.610001,47.700001,46.410000,46.930000,46.598976,8974100
2023-08-28,47.160000,48.500000,46.950001,48.279999,47.939453,7709200
2023-08-29,48.529999,49.240002,48.330002,48.549999,48.207550,9784800
2023-08-30,48.700001,48.880001,47.799999,47.849998,47.512486,5755400
2023-08-31,47.950001,47.980000,47.020000,47.099998,46.767776,13203600
2023-09-01,47.230000,47.700001,47.189999,47.419998,47.085518,5537000
2023-09-04,47.500000,47.700001,47.180000,47.270000,46.936581,3632300
2023-09-05,47.349998,47.799999,47.009998,47.099998,46.767776,7644100
2023-09-06,47.220001,47.450001,46.770000,46.779999,46.450035,7091800
2023-09-08,46.849998,47.020000,46.299999,46.639999,46.311020,7742600
2023-09-11,47.080002,47.540001,46.840000,47.380001,47.045803,7199900
2023-09-12,47.189999,47.619999,47.090000,47.299999,47.299999,7685200
2023-09-13,47.349998,47.900002,47.130001,47.259998,47.259998,7362800
2023-09-14,47.490002,47.919998,47.189999,47.389999,47.389999,7284900
2023-09-15,47.419998,47.700001,47.110001,47.549999,47.549999,10803000
